Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexander Svitov C *,TB,,58,1,3,4,11.0,42,16:25,0,0,35,2.9,,,,,,0,0,0.0
Andre Roy,TB,RW,11,0,3,3,0.0,4,9:17,0,0,16,0.0,,,,,,0,0,0.0
Ben Clymer,TB,LW,71,6,10,16,-4.0,12,12:20,0,2,98,6.1,,,,,,0,0,0.0
Brad Lukowich,TB,D,82,7,15,22,-5.0,25,12:53,0,0,95,7.4,,,,,,0,0,0.0
Brad Richards,TB,C,81,25,55,80,18.0,36,19:31,11,15,178,14.0,,,,,,0,0,0.0
Chris Dingman,TB,LW,31,1,6,7,3.0,6,19:06,0,2,42,2.4,,,,,,0,0,0.0
Cory Sarich,TB,D,79,5,14,19,29.0,24,18:45,0,2,86,5.8,,,,,,0,0,0.0
Cory Stillman,TB,LW,82,38,56,94,35.0,24,20:34,8,22,212,17.9,,,,,,0,0,0.0
Dan Boyle,TB,D,82,29,28,57,31.0,32,18:11,5,1,206,14.1,,,,,,0,0,0.0
Darren Rumble,TB,D,33,1,1,2,-5.0,78,7:51,0,0,24,4.2,,,,,,0,0,0.0
Darryl Sydor D *,TB,,79,2,5,7,8.0,58,19:01,0,0,78,2.6,,,,,,0,0,0.0
Dave Andreychuk,TB,LW,77,17,22,39,14.0,30,14:38,0,1,116,14.7,,,,,,0,0,0.0
Dmitry Afanasenkov,TB,RW,82,3,16,19,5.0,89,18:30,0,0,93,3.2,,,,,,0,0,0.0
Eric Perrin,TB,C,5,0,0,0,-2.0,2,11:33,0,0,5,0.0,,,,,,0,0,0.0
Fredrik Modin,TB,LW,81,32,34,66,23.0,52,18:03,5,9,242,13.2,,,,,,0,0,0.0
Jassen Cullimore,TB,D,63,2,7,9,-1.0,30,7:35,0,0,44,4.5,,,,,,0,0,0.0
Martin Cibak,TB,C,66,2,8,10,5.0,50,9:47,0,0,96,2.1,,,,,,0,0,0.0
Nolan Pratt,TB,D,12,0,6,6,1.0,2,13:49,0,1,27,0.0,,,,,,0,0,0.0
Pavel Kubina,TB,D,82,21,18,39,-9.0,42,17:06,10,6,165,12.7,,,,,,0,0,0.0
Ruslan Fedotenko,TB,LW,78,9,30,39,23.0,60,22:45,3,12,137,6.6,,,,,,0,0,0.0
Shane Willis,TB,RW,74,1,5,6,-9.0,140,8:16,0,0,65,1.5,,,,,,0,0,0.0
Tim Taylor,TB,C,81,17,18,35,9.0,85,21:08,8,4,153,11.1,,,,,,0,0,0.0
Total,TB,,4,0,0,0,-1.0,0,8:31,0,0,3,0.0,,,,,,0,0,0.0
Vincent Lecavalier,TB,C,82,26,53,79,14.0,12,20:25,5,21,244,10.7,,,,,,0,0,0.0
