Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Paul Pierce,79,79.0,39.0,26.8,1.0,5.7,6.7,4.7,1.4,0.4,3.5,2.8,1.4,8.7,18.5,47.1,1.4,4.0,35.3,7.9,10.3,77.2,7.3,14.5,50.3,1.447,0.51,SF,False
Ricky Davis,42,42.0,41.6,19.7,1.0,3.5,4.5,5.3,1.2,0.2,2.7,2.2,1.9,7.8,16.9,46.4,1.0,3.0,32.0,3.1,3.9,78.7,6.9,13.9,49.5,1.166,0.49,SG,True
Wally Szczerbiak,32,31.0,36.7,17.5,1.3,2.6,3.8,3.2,0.6,0.1,1.6,1.9,2.0,6.3,13.2,47.6,1.4,3.5,39.3,3.6,4.0,89.8,4.9,9.7,50.6,1.329,0.53,SG,True
Mark Blount,39,25.0,27.8,12.4,0.9,3.2,4.2,1.7,0.4,0.9,3.1,2.7,0.6,5.0,9.7,51.1,0.0,0.0,0.0,2.5,3.3,76.4,5.0,9.7,51.1,1.276,0.51,C,True
Delonte West,71,71.0,34.1,11.8,0.8,3.3,4.1,4.6,1.2,0.6,1.9,2.8,2.5,4.7,9.6,48.7,1.2,3.1,38.5,1.2,1.4,85.1,3.5,6.6,53.4,1.222,0.55,SG,False
Al Jefferson,59,7.0,18.0,7.9,1.6,3.4,5.1,0.5,0.5,0.8,1.1,2.8,0.5,3.2,6.4,49.9,0.0,0.1,0.0,1.5,2.3,64.2,3.2,6.4,50.4,1.224,0.5,C,False
Raef LaFrentz,82,63.0,24.8,7.8,1.0,4.0,5.0,1.4,0.4,0.9,0.8,3.3,1.8,2.9,6.7,43.1,1.4,3.5,39.2,0.6,0.9,68.0,1.5,3.2,47.4,1.158,0.53,C,False
Ryan Gomes,61,33.0,22.6,7.6,1.7,3.2,4.9,1.0,0.6,0.1,0.9,1.4,1.1,2.8,5.8,48.7,0.0,0.1,33.3,1.8,2.4,75.2,2.8,5.7,49.1,1.299,0.49,SF,False
Tony Allen,51,9.0,19.2,7.2,0.6,1.5,2.2,1.3,1.0,0.4,1.3,2.5,1.0,2.5,5.4,47.1,0.2,0.7,32.4,2.0,2.6,74.6,2.3,4.7,49.2,1.347,0.49,SG,False
Marcus Banks,18,1.0,14.9,5.5,0.2,0.8,1.1,1.8,0.4,0.0,1.3,2.1,1.4,1.8,4.4,41.3,0.3,1.1,31.6,1.5,1.7,90.0,1.5,3.4,44.3,1.238,0.45,PG,True
Gerald Green,32,3.0,11.7,5.2,0.3,1.0,1.3,0.6,0.4,0.1,0.7,1.3,0.8,2.1,4.3,47.8,0.2,0.6,30.0,0.9,1.2,78.4,1.9,3.7,50.8,1.21,0.5,G,False
Kendrick Perkins,68,40.0,19.6,5.2,2.1,3.9,5.9,1.0,0.3,1.5,1.6,2.9,0.6,2.0,3.9,51.5,0.0,0.0,0.0,1.2,1.9,61.5,2.0,3.9,51.9,1.331,0.52,C,False
Dan Dickau,19,0.0,12.3,3.3,0.3,0.6,0.8,2.1,0.6,0.1,0.9,2.1,2.2,0.9,2.4,37.0,0.5,1.1,50.0,0.9,0.9,100.0,0.4,1.4,26.9,1.348,0.48,PG,False
Orien Greene,80,5.0,15.4,3.2,0.5,1.4,1.8,1.6,1.0,0.1,1.4,2.3,1.2,1.3,3.2,39.5,0.1,0.5,22.5,0.6,0.9,66.2,1.1,2.7,42.7,1.004,0.41,PG,False
Brian Scalabrine,71,1.0,13.2,2.9,0.4,1.2,1.6,0.7,0.3,0.3,0.7,1.8,1.0,1.0,2.7,38.3,0.4,1.2,35.6,0.4,0.5,72.2,0.6,1.5,40.6,1.062,0.46,PF,False
Michael Olowokandi,16,0.0,10.4,2.8,0.3,2.3,2.6,0.4,0.2,0.4,0.9,1.4,0.4,1.3,2.8,44.4,0.0,0.0,0.0,0.3,0.5,62.5,1.3,2.8,44.4,1.0,0.44,C,True
Justin Reed,32,0.0,9.1,2.3,0.4,0.5,0.9,0.2,0.2,0.1,0.5,1.4,0.5,0.8,2.3,33.8,0.0,0.0,0.0,0.8,1.3,62.5,0.8,2.3,33.8,1.014,0.34,SF,True
Dwayne Jones II,14,0.0,6.2,1.0,0.7,1.5,2.2,0.1,0.1,0.2,0.2,1.0,0.7,0.3,0.7,40.0,0.0,0.0,0.0,0.4,0.9,46.2,0.3,0.7,40.0,1.4,0.4,PF,False
Total,82,,,98.0,9.9,29.7,39.6,20.9,7.0,5.1,16.6,24.8,1.3,36.0,77.1,46.7,5.7,15.7,36.2,20.3,26.9,75.5,30.3,61.4,49.4,1.271,0.5,Total,False
