Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Paul Millsap,73,73.0,32.7,16.7,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,1.3,6.1,12.7,47.6,1.1,3.0,35.6,3.5,4.6,75.7,5.0,9.8,51.3,1.31,0.52,PF,False
Jeff Teague,73,72.0,30.5,15.9,0.4,2.1,2.5,7.0,1.7,0.4,2.8,1.9,2.5,5.6,12.2,46.0,1.0,2.8,34.3,3.8,4.4,86.2,4.6,9.3,49.6,1.31,0.5,PG,False
Al Horford,76,76.0,30.5,15.2,1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,2.4,6.8,12.7,53.8,0.1,0.5,30.6,1.4,1.9,75.9,6.7,12.2,54.7,1.198,0.54,C,False
DeMarre Carroll,70,69.0,31.3,12.6,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,1.6,4.5,9.3,48.7,1.7,4.3,39.5,1.8,2.6,70.2,2.8,5.0,56.7,1.352,0.58,F,False
Kyle Korver,75,75.0,32.2,12.1,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,1.8,3.9,8.0,48.7,2.9,6.0,49.2,1.4,1.6,89.8,0.9,2.0,47.0,1.518,0.67,G,False
Dennis Schroder,77,10.0,19.7,10.0,0.4,1.8,2.1,4.1,0.6,0.1,1.9,1.6,2.1,3.7,8.6,42.7,0.7,1.9,35.1,1.9,2.3,82.7,3.0,6.7,44.9,1.155,0.47,G,False
Mike Scott,68,0.0,16.5,7.8,0.7,2.3,2.9,1.1,0.4,0.0,0.6,1.2,1.9,3.0,6.7,44.4,1.0,2.8,34.4,0.9,1.1,79.2,2.0,3.8,51.7,1.168,0.52,PF,False
Pero Antic,63,3.0,16.5,5.7,0.9,2.1,3.0,0.8,0.3,0.2,0.8,2.1,1.0,1.7,4.7,36.5,0.8,2.7,30.1,1.4,2.0,71.5,0.9,2.0,45.5,1.203,0.45,PF,False
John Jenkins,24,3.0,12.4,5.6,0.1,1.5,1.6,0.5,0.4,0.0,0.3,0.6,1.6,2.0,4.1,49.5,0.9,2.2,40.4,0.7,0.8,84.2,1.2,2.0,59.6,1.364,0.6,G,False
Shelvin Mack,55,0.0,15.1,5.4,0.1,1.3,1.4,2.8,0.5,0.0,0.9,0.6,3.2,2.1,5.3,40.1,0.7,2.3,31.5,0.5,0.6,80.6,1.4,3.0,46.7,1.024,0.47,G,False
Thabo Sefolosha,52,7.0,18.8,5.3,1.0,3.3,4.3,1.4,1.0,0.4,0.7,1.3,2.0,2.0,4.8,41.8,0.5,1.5,32.1,0.9,1.1,77.6,1.5,3.3,46.2,1.116,0.47,F,False
Kent Bazemore,75,10.0,17.7,5.2,0.3,2.7,3.0,1.0,0.7,0.4,1.0,1.7,1.1,1.9,4.4,42.6,0.6,1.8,36.4,0.8,1.3,60.0,1.2,2.7,46.7,1.178,0.5,SF,False
Mike Muscala,40,8.0,12.6,4.9,1.3,1.7,3.0,0.6,0.4,0.5,0.5,1.3,1.2,2.1,3.8,55.0,0.2,0.6,40.9,0.6,0.6,88.0,1.9,3.2,57.4,1.305,0.58,C,False
Austin Daye,8,0.0,9.5,3.3,0.5,1.3,1.8,1.0,0.5,0.3,0.6,1.1,1.6,1.3,3.3,38.5,0.6,1.8,35.7,0.1,0.3,50.0,0.6,1.5,41.7,1.0,0.48,SF,True
Elton Brand,36,4.0,13.5,2.7,0.8,2.0,2.8,0.6,0.5,0.7,0.5,1.5,1.2,1.2,2.6,44.2,0.0,0.0,0.0,0.3,0.6,52.2,1.2,2.6,44.7,1.011,0.44,PF,False
Adreian Payne,3,0.0,6.3,1.7,0.3,1.0,1.3,0.0,0.3,0.0,0.0,1.3,0.0,0.7,2.3,28.6,0.0,0.3,0.0,0.3,0.7,50.0,0.7,2.0,33.3,0.714,0.29,PF,True
Total,82,,,102.5,8.7,31.8,40.6,25.7,9.1,4.6,13.5,17.8,1.9,38.1,81.7,46.6,10.0,26.2,38.0,16.5,21.2,77.8,28.1,55.5,50.6,1.255,0.53,Total,False
