Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Isaiah Thomas,21,0.0,26.0,19.0,0.3,1.8,2.1,5.4,0.6,0.0,2.6,2.1,2.1,5.6,13.5,41.2,2.3,6.6,34.5,5.6,6.5,86.1,3.3,6.9,47.6,1.408,0.5,G,True
Jeff Green,33,33.0,33.1,17.6,0.6,3.6,4.3,1.6,0.8,0.4,1.7,2.0,0.9,6.2,14.4,43.4,1.4,4.7,30.5,3.7,4.4,84.0,4.8,9.7,49.5,1.221,0.48,F,True
Avery Bradley,77,77.0,31.5,13.9,0.6,2.5,3.1,1.8,1.1,0.2,1.4,2.3,1.2,5.6,13.2,42.8,1.6,4.6,35.2,1.0,1.3,79.0,4.0,8.6,46.9,1.057,0.49,PG,False
Jared Sullinger,58,49.0,27.0,13.3,2.5,5.1,7.6,2.3,0.8,0.7,1.3,2.6,1.7,5.4,12.2,43.9,0.9,3.2,28.3,1.7,2.2,74.4,4.5,9.0,49.4,1.088,0.48,C,False
Brandon Bass,82,43.0,23.5,10.6,1.7,3.2,4.9,1.3,0.5,0.4,1.0,1.7,1.3,4.2,8.3,50.4,0.1,0.4,28.1,2.1,2.6,79.0,4.1,7.9,51.5,1.268,0.51,PF,False
Kelly Olynyk,64,13.0,22.3,10.3,1.4,3.3,4.7,1.7,1.0,0.6,1.5,3.3,1.1,3.9,8.3,47.5,1.0,2.7,34.9,1.5,2.1,68.4,3.0,5.5,53.8,1.242,0.53,F,False
Tyler Zeller,82,59.0,21.1,10.2,1.8,3.9,5.7,1.4,0.2,0.6,0.9,2.5,1.5,4.1,7.5,54.9,0.0,0.0,0.0,1.9,2.3,82.3,4.1,7.5,54.9,1.346,0.55,C,False
Evan Turner,82,57.0,27.6,9.5,0.5,4.6,5.1,5.5,1.0,0.2,2.4,2.2,2.3,3.9,9.1,42.9,0.4,1.5,27.7,1.3,1.7,75.2,3.5,7.6,45.8,1.044,0.45,G,False
Jae Crowder,57,17.0,24.2,9.5,1.1,3.6,4.6,1.4,1.0,0.4,0.7,1.9,2.1,3.4,8.2,41.8,0.8,3.0,28.2,1.7,2.3,76.2,2.6,5.2,49.5,1.149,0.47,PF,True
Marcus Thornton,39,0.0,16.4,8.9,0.5,1.4,1.9,0.9,0.5,0.2,0.6,0.9,1.5,3.3,7.8,41.6,1.3,3.2,41.9,1.1,1.3,82.4,1.9,4.6,41.4,1.141,0.5,SG,True
Tayshaun Prince,9,0.0,22.0,8.4,0.7,2.7,3.3,2.0,0.6,0.2,0.4,0.8,4.5,3.7,6.6,55.9,0.6,0.9,62.5,0.6,0.7,83.3,3.1,5.7,54.9,1.288,0.6,SF,True
Rajon Rondo,22,22.0,31.8,8.3,1.1,6.4,7.5,10.8,1.7,0.1,3.4,1.9,3.2,3.7,9.1,40.5,0.4,1.5,25.0,0.5,1.6,33.3,3.3,7.6,43.5,0.91,0.43,PG,True
Marcus Smart,67,38.0,27.0,7.8,0.9,2.4,3.3,3.1,1.5,0.3,1.3,2.6,2.3,2.6,7.1,36.7,1.4,4.1,33.5,1.2,1.9,64.6,1.3,3.1,41.0,1.096,0.46,G,False
Jonas Jerebko,29,0.0,18.2,7.1,1.6,3.2,4.8,1.0,0.7,0.2,0.6,2.0,1.7,2.7,6.2,43.1,0.9,2.2,40.6,0.9,1.0,83.3,1.8,4.0,44.4,1.144,0.5,F,True
Luigi Datome,18,1.0,10.7,5.2,0.1,1.3,1.4,0.4,0.1,0.4,0.4,0.8,1.0,2.1,4.3,49.4,0.9,2.0,47.2,0.1,0.1,100.0,1.2,2.3,51.2,1.221,0.6,SF,True
Jameer Nelson,6,1.0,20.2,4.8,0.5,2.3,2.8,5.5,1.2,0.0,1.5,2.2,3.7,1.5,6.8,22.0,0.8,4.2,20.0,1.0,1.5,66.7,0.7,2.7,25.0,0.707,0.28,G,True
Phil Pressey,50,0.0,12.0,3.5,0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,2.9,1.3,3.5,36.8,0.3,1.3,24.6,0.7,1.0,67.3,1.0,2.2,44.0,1.017,0.41,PG,False
