Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Philadelphia 76ers,49,23,0.681,-,29-7,20-16,10-2,31-11,113.6,108.1,5.5,W2,8-2
2,Eastern,2,Brooklyn Nets,48,24,0.667,1,28-8,20-16,8-4,26-16,118.6,114.1,4.5,W5,6-4
3,Eastern,3,Milwaukee Bucks,46,26,0.639,3,26-10,20-16,11-1,30-12,120.1,114.2,5.9,L1,8-2
4,Eastern,4,New York Knicks,41,31,0.569,8,25-11,16-20,4-8,25-17,107.0,104.7,2.3,W3,7-3
5,Eastern,5,Atlanta Hawks,41,31,0.569,8,25-11,16-20,9-3,24-18,113.7,111.4,2.3,W4,7-3
6,Eastern,6,Miami Heat,40,32,0.556,9,21-15,19-17,6-6,24-18,108.1,108.0,0.1,W1,8-2
7,Eastern,7,Boston Celtics,36,36,0.5,13,21-15,15-21,4-8,20-22,112.6,111.2,1.4,L1,4-6
8,Eastern,8,Washington Wizards,34,38,0.472,15,19-17,15-21,3-9,16-26,116.6,118.5,-1.9,W2,6-4
9,Eastern,9,Indiana Pacers,34,38,0.472,15,13-23,21-15,7-5,20-22,115.3,115.3,0.0,W1,5-5
10,Eastern,10,Charlotte Hornets,33,39,0.458,16,18-18,15-21,8-4,20-22,109.5,111.4,-1.9,L5,3-7
11,Eastern,11,Chicago Bulls,31,41,0.431,18,15-21,16-20,7-5,21-21,110.7,111.6,-0.9,W1,5-5
12,Eastern,12,Toronto Raptors,27,45,0.375,22,16-20,11-25,4-8,17-25,111.3,111.7,-0.4,L7,1-9
13,Eastern,13,Cleveland Cavaliers,22,50,0.306,27,13-23,9-27,4-8,16-26,103.8,112.3,-8.5,L2,1-9
14,Eastern,14,Orlando Magic,21,51,0.292,28,11-25,10-26,4-8,13-29,104.0,113.3,-9.3,L7,2-8
15,Eastern,15,Detroit Pistons,20,52,0.278,29,13-23,7-29,1-11,12-30,106.6,111.1,-4.5,L5,1-9
16,Western,1,Utah Jazz,52,20,0.722,-,31-5,21-15,7-5,28-14,116.4,107.2,9.2,W2,7-3
17,Western,2,Phoenix Suns,51,21,0.708,1,27-9,24-12,7-5,30-12,115.3,109.5,5.8,W3,7-3
18,Western,3,Denver Nuggets,47,25,0.653,5,25-11,22-14,9-3,26-16,115.1,110.1,5.0,L1,6-4
19,Western,4,LA Clippers,47,25,0.653,5,26-10,21-15,9-3,27-15,114.0,107.8,6.2,L2,4-6
20,Western,5,Dallas Mavericks,42,30,0.583,10,21-15,21-15,7-5,21-21,112.4,110.2,2.2,L1,8-2
21,Western,6,Portland Trail Blazers,42,30,0.583,10,20-16,22-14,6-6,23-19,116.1,114.3,1.8,W1,8-2
22,Western,7,Los Angeles Lakers,42,30,0.583,10,21-15,21-15,4-8,25-17,109.5,106.8,2.7,W5,6-4
23,Western,8,Memphis Grizzlies,38,34,0.528,14,18-18,20-16,6-6,19-23,113.3,112.3,1.0,L1,6-4
24,Western,9,Golden State Warriors,39,33,0.542,13,25-11,14-22,5-7,25-17,113.7,112.7,1.0,W6,8-2
25,Western,10,San Antonio Spurs,33,39,0.458,19,14-22,19-17,6-6,17-25,111.1,112.8,-1.7,L4,2-8
26,Western,11,New Orleans Pelicans,31,41,0.431,21,18-18,13-23,6-6,18-24,114.6,114.9,-0.3,L4,4-6
27,Western,12,Sacramento Kings,31,41,0.431,21,16-20,15-21,5-7,18-24,113.7,117.4,-3.7,L3,6-4
28,Western,13,Minnesota Timberwolves,23,49,0.319,29,13-23,10-26,5-7,15-27,112.1,117.7,-5.6,W1,5-5
29,Western,14,Oklahoma City Thunder,22,50,0.306,30,10-26,12-24,3-9,12-30,105.0,115.6,-10.6,W1,1-9
30,Western,15,Houston Rockets,17,55,0.236,35,9-27,8-28,5-7,11-31,108.8,116.7,-7.9,L1,2-8
