Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Detroit Pistons,53,29,0.646,-,26-15,27-14,9-7,36-16,96.0,91.8,4.2,W2,7-3
2,Eastern,2,Cleveland Cavaliers,50,32,0.61,3,30-11,20-21,10-6,31-21,96.8,92.9,3.9,W4,7-3
3,Eastern,3,Toronto Raptors,47,35,0.573,6,30-11,17-24,11-5,33-19,99.5,98.5,1.0,L2,7-3
4,Eastern,4,Miami Heat,44,38,0.537,9,27-14,17-24,9-7,27-25,94.6,95.5,-0.9,L2,5-5
5,Eastern,5,Chicago Bulls,49,33,0.598,4,31-10,18-23,12-4,36-16,98.8,93.8,5.0,L1,7-3
6,Eastern,6,New Jersey Nets,41,41,0.5,12,24-17,17-24,10-6,31-21,97.6,98.3,-0.7,W4,8-2
7,Eastern,7,Washington Wizards,41,41,0.5,12,26-15,15-26,8-8,27-25,104.3,104.9,-0.6,W1,2-8
8,Eastern,8,Orlando Magic,40,42,0.488,13,25-16,15-26,9-7,26-26,94.8,94.0,0.8,W4,7-3
9,Eastern,9,Indiana Pacers,35,47,0.427,18,22-19,13-28,8-8,25-27,95.6,98.0,-2.4,L4,4-6
10,Eastern,10,Philadelphia 76ers,35,47,0.427,18,21-20,14-27,9-7,24-28,94.9,98.0,-3.1,W1,6-4
11,Eastern,11,Charlotte Hornets,33,49,0.402,20,20-21,13-28,9-7,24-28,96.9,100.6,-3.7,L1,6-4
12,Eastern,12,New York Knicks,33,49,0.402,20,19-22,14-27,3-13,22-30,97.5,100.3,-2.8,W1,2-8
13,Eastern,13,Atlanta Hawks,30,52,0.366,23,18-23,12-29,5-11,17-35,93.7,98.4,-4.7,W1,3-7
14,Eastern,14,Milwaukee Bucks,28,54,0.341,25,18-23,10-31,1-15,15-37,99.7,104.0,-4.3,L1,3-7
15,Eastern,15,Boston Celtics,24,58,0.293,29,12-29,12-29,7-9,16-36,95.8,99.2,-3.4,L1,2-8
16,Western,1,Dallas Mavericks,67,15,0.817,-,36-5,31-10,14-2,40-12,100.0,92.8,7.2,W1,6-4
17,Western,2,Phoenix Suns,61,21,0.744,6,33-8,28-13,11-5,36-16,110.2,102.9,7.3,L2,7-3
18,Western,3,San Antonio Spurs,58,24,0.707,9,31-10,27-14,10-6,38-14,98.5,90.1,8.4,L3,6-4
19,Western,4,Utah Jazz,51,31,0.622,16,31-10,20-21,10-6,32-20,101.5,98.6,2.9,W2,4-6
20,Western,5,Houston Rockets,52,30,0.634,15,28-13,24-17,8-8,28-24,97.0,92.1,4.9,L1,6-4
21,Western,6,Denver Nuggets,45,37,0.549,22,23-18,22-19,9-7,27-25,105.4,103.7,1.7,W2,9-1
22,Western,7,Los Angeles Lakers,42,40,0.512,25,25-16,17-24,10-6,28-24,103.3,103.4,-0.1,W2,4-6
23,Western,8,Golden State Warriors,42,40,0.512,25,30-11,12-29,6-10,28-24,106.5,106.9,-0.4,W5,9-1
24,Western,9,LA Clippers,40,42,0.488,27,25-16,15-26,8-8,23-29,95.6,96.1,-0.5,L1,5-5
25,Western,10,New Orleans Pelicans,39,43,0.476,28,24-17,15-26,6-10,23-29,95.5,97.1,-1.6,W2,7-3
26,Western,11,Sacramento Kings,33,49,0.402,34,20-21,13-28,5-11,18-34,101.3,103.1,-1.8,L2,3-7
27,Western,12,Portland Trail Blazers,32,50,0.39,35,18-23,14-27,7-9,19-33,94.1,98.4,-4.3,L2,3-7
28,Western,13,Minnesota Timberwolves,32,50,0.39,35,20-21,12-29,6-10,18-34,96.1,99.7,-3.6,L7,2-8
29,Western,14,Seattle SuperSonics,31,51,0.378,36,20-21,11-30,8-8,18-34,99.1,102.0,-2.9,L5,1-9
30,Western,15,Memphis Grizzlies,22,60,0.268,45,14-27,8-33,2-14,14-38,101.6,106.7,-5.1,W3,4-6
