Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Miami Heat,53,29,0.646,-,29-12,24-17,13-3,35-17,110.0,105.6,4.4,L1,6-4
2,Eastern,2,Boston Celtics,51,31,0.622,2,28-13,23-18,9-7,33-19,111.8,104.5,7.3,W1,7-3
3,Eastern,3,Milwaukee Bucks,51,31,0.622,2,27-14,24-17,12-4,33-19,115.5,112.1,3.4,L1,6-4
4,Eastern,4,Philadelphia 76ers,51,31,0.622,2,24-17,27-14,6-10,32-20,109.9,107.3,2.6,W2,6-4
5,Eastern,5,Toronto Raptors,48,34,0.585,5,24-17,24-17,10-6,30-22,109.4,107.1,2.3,L1,8-2
6,Eastern,6,Chicago Bulls,46,36,0.561,7,27-14,19-22,10-6,29-23,111.6,112.0,-0.4,W1,4-6
7,Eastern,7,Brooklyn Nets,44,38,0.537,9,20-21,24-17,10-6,31-21,112.9,112.1,0.8,W4,6-4
8,Eastern,8,Atlanta Hawks,43,39,0.524,10,27-14,16-25,9-7,26-26,113.9,112.4,1.5,W1,7-3
9,Eastern,9,Cleveland Cavaliers,44,38,0.537,9,25-16,19-22,10-6,27-25,107.8,105.7,2.1,W1,3-7
10,Eastern,10,Charlotte Hornets,43,39,0.524,10,22-19,21-20,8-8,27-25,115.3,114.9,0.4,W3,6-4
11,Eastern,11,New York Knicks,37,45,0.451,16,17-24,20-21,5-11,22-30,106.5,106.6,-0.1,W2,7-3
12,Eastern,12,Washington Wizards,35,47,0.427,18,21-20,14-27,7-9,24-28,108.6,112.0,-3.4,L3,5-5
13,Eastern,13,Indiana Pacers,25,57,0.305,28,16-25,9-32,2-14,11-41,111.5,114.9,-3.4,L10,0-10
14,Eastern,14,Detroit Pistons,23,59,0.28,30,13-28,10-31,6-10,18-34,104.8,112.5,-7.7,L3,4-6
15,Eastern,15,Orlando Magic,22,60,0.268,31,12-29,10-31,3-13,12-40,104.2,112.2,-8.0,W1,3-7
16,Western,1,Phoenix Suns,64,18,0.78,-,32-9,32-9,10-6,39-13,114.8,107.4,7.4,L1,6-4
17,Western,2,Memphis Grizzlies,56,26,0.683,8,30-11,26-15,11-5,36-16,115.6,109.9,5.7,L1,7-3
18,Western,3,Golden State Warriors,53,29,0.646,11,31-10,22-19,12-4,33-19,111.0,105.5,5.5,W5,6-4
19,Western,4,Dallas Mavericks,52,30,0.634,12,29-12,23-18,14-2,36-16,108.0,104.7,3.3,W4,8-2
20,Western,5,Utah Jazz,49,33,0.598,15,29-12,20-21,15-1,33-19,113.6,107.6,6.0,W1,4-6
21,Western,6,Denver Nuggets,48,34,0.585,16,23-18,25-16,6-10,29-23,112.7,110.4,2.3,L1,6-4
22,Western,7,Minnesota Timberwolves,46,36,0.561,18,26-15,20-21,12-4,32-20,116.0,113.3,2.7,L1,4-6
23,Western,8,New Orleans Pelicans,36,46,0.439,28,19-22,17-24,6-10,25-27,109.3,110.3,-1.0,L2,6-4
24,Western,9,LA Clippers,42,40,0.512,22,25-16,17-24,9-7,26-26,108.4,108.4,0.0,W5,6-4
25,Western,10,San Antonio Spurs,34,48,0.415,30,16-25,18-23,6-10,24-28,113.2,113.0,0.2,L3,6-4
26,Western,11,Los Angeles Lakers,33,49,0.402,31,21-20,12-29,3-13,18-34,112.1,115.1,-3.0,W2,2-8
27,Western,12,Sacramento Kings,30,52,0.366,34,16-25,14-27,6-10,20-32,110.3,115.8,-5.5,W1,5-5
28,Western,13,Portland Trail Blazers,27,55,0.329,37,17-24,10-31,1-15,11-41,106.2,115.1,-8.9,L11,0-10
29,Western,14,Oklahoma City Thunder,24,58,0.293,40,12-29,12-29,6-10,17-35,103.7,111.8,-8.1,L3,4-6
30,Western,15,Houston Rockets,20,62,0.244,44,11-30,9-32,3-13,11-41,109.7,118.2,-8.5,L7,3-7
