Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Luol Deng,23,23.0,37.4,19.0,1.7,5.1,6.9,3.7,1.0,0.2,2.6,2.3,1.4,7.0,15.4,45.2,0.7,2.7,27.4,4.4,5.4,81.5,6.2,12.7,49.0,1.237,0.48,F,True
Derrick Rose,10,10.0,31.1,15.9,0.9,2.3,3.2,4.3,0.5,0.1,3.4,1.5,1.3,5.8,16.4,35.4,1.6,4.7,34.0,2.7,3.2,84.4,4.2,11.7,35.9,0.97,0.4,PG,False
D.J. Augustin,61,9.0,30.4,14.9,0.2,1.8,2.1,5.0,0.9,0.0,1.9,2.3,2.6,4.8,11.4,41.9,2.2,5.3,41.1,3.2,3.6,88.2,2.6,6.1,42.6,1.31,0.51,G,True
Carlos Boozer,76,76.0,28.2,13.7,1.8,6.5,8.3,1.6,0.7,0.3,2.0,2.8,0.8,5.9,12.9,45.6,0.0,0.0,0.0,1.9,2.5,76.7,5.9,12.9,45.7,1.063,0.46,PF,False
Jimmy Butler III,67,67.0,38.7,13.1,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,1.7,4.1,10.3,39.7,1.0,3.6,28.3,3.9,5.0,76.9,3.1,6.8,45.7,1.267,0.45,F,False
Taj Gibson,82,8.0,28.7,13.0,2.4,4.4,6.8,1.1,0.5,1.4,1.8,2.5,0.6,5.2,10.9,47.9,0.0,0.1,0.0,2.6,3.4,75.1,5.2,10.8,48.3,1.193,0.48,F,False
Joakim Noah,80,80.0,35.3,12.6,3.5,7.7,11.3,5.4,1.2,1.5,2.4,3.1,2.2,4.8,10.0,47.5,0.0,0.0,0.0,3.1,4.2,73.7,4.8,10.0,47.6,1.259,0.48,C,False
Mike Dunleavy,82,61.0,31.5,11.3,0.6,3.6,4.2,2.3,0.8,0.6,1.3,2.0,1.7,4.1,9.4,43.0,1.5,4.0,38.0,1.7,2.0,85.4,2.6,5.5,46.7,1.2,0.51,SG,False
Kirk Hinrich,73,61.0,29.0,9.1,0.4,2.2,2.6,3.9,1.1,0.4,1.6,2.8,2.4,3.3,8.5,39.3,1.2,3.3,35.1,1.3,1.7,76.0,2.2,5.2,41.9,1.076,0.46,SG,False
Tony Snell,77,12.0,16.0,4.5,0.2,1.4,1.6,0.9,0.4,0.2,0.6,1.1,1.5,1.7,4.4,38.4,0.7,2.3,32.0,0.4,0.5,75.6,0.9,2.1,45.6,1.03,0.47,SF,False
Jimmer Fredette,8,0.0,7.0,4.0,0.1,0.8,0.9,0.4,0.0,0.0,0.5,0.9,0.8,1.6,3.6,44.8,0.5,1.4,36.4,0.3,0.3,100.0,1.1,2.3,50.0,1.103,0.52,G,True
Cartier Martin,6,0.0,8.0,2.5,0.2,0.7,0.8,0.3,0.2,0.0,0.2,0.5,2.0,0.8,1.3,62.5,0.5,0.8,60.0,0.3,0.7,50.0,0.3,0.5,66.7,1.875,0.81,PF,True
Marquis Teague,19,2.0,12.7,2.4,0.1,0.9,1.0,1.5,0.1,0.2,0.9,1.3,1.6,0.8,3.5,24.2,0.1,0.5,20.0,0.6,0.8,68.8,0.7,2.9,25.0,0.682,0.26,G,True
Nazr Mohammed,80,1.0,7.0,1.6,0.8,1.4,2.2,0.3,0.2,0.4,0.5,1.0,0.5,0.7,1.6,42.9,0.0,0.0,0.0,0.2,0.4,53.3,0.7,1.6,42.9,0.984,0.43,C,False
Mike James,11,0.0,7.0,1.0,0.0,0.6,0.6,1.5,0.2,0.0,0.5,1.0,3.4,0.5,1.9,23.8,0.1,0.5,20.0,0.0,0.2,0.0,0.4,1.5,25.0,0.524,0.26,PG,False
Tornike Shengelia,9,0.0,1.9,0.4,0.0,0.2,0.2,0.2,0.1,0.0,0.1,0.2,2.0,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,50.0,1.0,0.5,SF,True
Erik Jay Murphy,24,0.0,2.6,0.3,0.1,0.3,0.3,0.1,0.0,0.2,0.1,0.3,1.0,0.1,0.5,23.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.4,30.0,0.462,0.23,PF,False
Ronnie Brewer,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,True
Lou Amundson,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PF,True
Jarvis Varnado,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PF,True
Total,82,,,93.7,11.4,32.7,44.1,22.7,7.2,5.2,14.0,19.1,1.6,34.7,80.2,43.2,6.2,17.8,34.8,18.1,23.3,77.9,28.5,62.4,45.6,1.168,0.47,Total,False
