Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
2,Atlantic Division,1,Hershey Bears,72,44,20,7,1,96,0.667,32,41,234,211,23,5-4-1-0,0-1-0-0,775,0
4,Atlantic Division,2,Charlotte Checkers,72,44,22,3,3,94,0.653,36,42,234,185,49,7-3-0-0,4-0-0-0,846,0
8,Atlantic Division,3,Providence Bruins,72,41,23,5,3,90,0.625,34,37,240,188,52,6-3-1-0,4-0-1-0,887,0
11,Atlantic Division,4,Wilkes-Barre/Scranton Penguins,72,40,24,7,1,88,0.611,33,38,244,215,29,4-6-0-0,1-0-0-0,1005,0
19,Atlantic Division,5,Lehigh Valley Phantoms,72,36,28,6,2,80,0.556,25,32,215,221,-6,5-4-1-0,3-0-0-0,1046,0
23,Atlantic Division,6,Springfield Thunderbirds,72,34,32,2,4,74,0.514,28,32,218,236,-18,4-6-0-0,0-4-0-0,899,0
27,Atlantic Division,7,Hartford Wolf Pack,72,30,33,7,2,69,0.479,20,28,199,234,-35,4-4-2-0,1-0-0-0,1053,0
32,Atlantic Division,8,Bridgeport Islanders,72,15,50,4,3,37,0.257,15,15,181,294,-113,1-9-0-0,0-7-0-0,945,0
1,North Division,1,Laval Rocket,72,48,19,3,2,101,0.701,37,45,229,178,51,6-3-0-1,2-0-0-0,1101,0
6,North Division,2,Rochester Americans,72,42,22,5,3,92,0.639,33,37,238,191,47,4-4-2-0,0-1-1-0,788,0
12,North Division,3,Syracuse Crunch,72,37,23,8,4,86,0.597,28,33,206,178,28,8-2-0-0,0-1-0-0,827,0
13,North Division,4,Toronto Marlies,72,37,23,4,8,86,0.597,25,33,209,197,12,5-2-1-2,4-0-0-2,841,0
17,North Division,5,Cleveland Monsters,72,35,26,5,6,81,0.563,24,31,206,225,-19,4-5-0-1,0-3-0-0,952,0
20,North Division,6,Belleville Senators,72,34,27,6,5,79,0.549,26,30,206,223,-17,4-3-2-1,0-1-1-0,1043,0
26,North Division,7,Utica Comets,72,31,33,6,2,70,0.486,25,29,196,223,-27,6-3-1-0,1-0-0-0,892,0
7,Central Division,1,Milwaukee Admirals,72,40,21,5,6,91,0.632,36,40,218,184,34,8-1-1-0,6-0-0-0,1003,0
10,Central Division,2,Texas Stars,72,43,26,3,0,89,0.618,33,39,240,210,30,4-6-0-0,0-1-0-0,848,0
18,Central Division,3,Grand Rapids Griffins,72,37,29,4,2,80,0.556,27,29,202,203,-1,5-5-0-0,1-0-0-0,771,0
21,Central Division,4,Chicago Wolves,72,37,31,4,0,78,0.542,29,36,205,223,-18,5-4-1-0,1-0-0-0,915,0
25,Central Division,5,Rockford IceHogs,72,31,33,6,2,70,0.486,27,29,206,220,-14,4-6-0-0,0-1-0-0,935,0
30,Central Division,6,Iowa Wild,72,27,37,6,2,62,0.431,24,26,201,251,-50,5-3-1-1,0-1-1-1,841,0
31,Central Division,7,Manitoba Moose,72,25,41,3,3,56,0.389,17,23,169,248,-79,3-6-1-0,1-0-0-0,1066,0
3,Pacific Division,1,Colorado Eagles,72,43,21,5,3,94,0.653,38,41,250,185,65,5-5-0-0,0-1-0-0,827,0
5,Pacific Division,2,Abbotsford Canucks,72,44,24,2,2,92,0.639,38,41,241,204,37,8-1-0-1,3-0-0-0,860,0
9,Pacific Division,3,Ontario Reign,72,43,25,3,1,90,0.625,33,36,225,207,18,7-3-0-0,0-1-0-0,974,0
14,Pacific Division,4,Coachella Valley Firebirds,72,37,25,5,5,84,0.583,30,36,225,205,20,4-3-3-0,0-1-2-0,742,0
15,Pacific Division,5,Calgary Wranglers,72,37,28,4,3,81,0.563,31,34,230,239,-9,5-5-0-0,1-0-0-0,862,0
16,Pacific Division,6,San Jose Barracuda,72,36,27,5,4,81,0.563,29,33,244,231,13,4-6-0-0,0-1-0-0,1012,0
22,Pacific Division,7,Tucson Roadrunners,72,34,32,4,2,74,0.514,30,33,228,237,-9,4-5-1-0,1-0-0-0,1075,0
24,Pacific Division,8,Bakersfield Condors,72,32,30,7,3,74,0.514,23,28,224,233,-9,5-5-0-0,2-0-0-0,937,0
28,Pacific Division,9,San Diego Gulls,72,29,35,5,3,66,0.458,18,27,216,251,-35,4-6-0-0,1-0-0-0,799,0
29,Pacific Division,10,Henderson Silver Knights,72,29,38,3,2,63,0.438,24,26,202,251,-49,3-6-0-1,0-2-0-0,1017,0
