Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Paul Pierce,80,80.0,38.7,23.0,0.9,5.7,6.5,5.1,1.6,0.7,3.8,2.9,1.4,7.5,18.7,40.2,1.4,4.8,29.9,6.5,7.9,81.9,6.1,13.9,43.8,1.226,0.44,SF,False
Ricky Davis,57,5.0,29.4,14.1,1.0,3.1,4.2,2.6,1.2,0.2,2.1,2.1,1.2,5.5,11.2,48.8,0.6,1.6,38.0,2.5,3.5,73.2,4.9,9.6,50.6,1.258,0.52,SG,True
Chucky Atkins,24,24.0,33.0,12.0,0.1,1.8,1.9,5.3,1.1,0.0,1.8,1.8,2.9,4.3,10.4,41.8,1.6,4.6,35.1,1.8,2.3,77.8,2.7,5.8,47.1,1.161,0.5,PG,True
Eric Williams,21,0.0,24.4,11.6,1.0,3.5,4.5,1.2,1.0,0.0,1.5,2.5,0.8,3.7,8.4,43.5,0.5,1.5,34.4,3.7,5.2,71.6,3.1,6.9,45.5,1.373,0.47,PF,True
Vin Baker,37,33.0,27.0,11.3,2.1,3.6,5.7,1.5,0.6,0.6,1.4,2.6,1.0,4.5,9.0,50.5,0.0,0.0,0.0,2.2,3.0,73.2,4.5,9.0,50.6,1.255,0.5,PF,True
Mike James,55,55.0,30.6,10.7,0.4,2.8,3.2,4.4,1.3,0.0,1.5,2.1,2.9,3.9,9.3,41.8,1.6,4.1,38.1,1.4,1.7,80.0,2.3,5.2,44.7,1.153,0.5,PG,True
Mark Blount,82,73.0,29.3,10.3,2.5,4.7,7.2,0.9,1.0,1.3,1.8,3.1,0.5,4.2,7.4,56.6,0.0,0.0,0.0,1.9,2.7,71.9,4.2,7.4,56.6,1.396,0.57,C,False
Jiri Welsch,81,68.0,26.9,9.2,0.7,2.9,3.7,2.3,1.2,0.1,1.6,2.2,1.4,3.2,7.6,42.8,0.9,2.2,38.1,1.9,2.5,74.3,2.4,5.3,44.8,1.219,0.48,GF,False
Walter McCarty,77,23.0,24.7,7.9,0.4,2.7,3.1,1.6,0.9,0.3,1.2,2.3,1.4,2.6,6.8,38.8,1.8,4.8,37.4,0.8,1.1,75.6,0.9,2.0,42.0,1.157,0.52,PF,False
Raef LaFrentz,17,1.0,19.3,7.8,1.8,2.9,4.6,1.4,0.5,0.8,0.6,2.8,2.2,3.4,7.3,46.0,0.5,2.4,20.0,0.6,0.8,76.9,2.9,4.9,58.3,1.065,0.49,C,False
Chris Mihm,54,16.0,17.4,6.1,2.0,3.0,5.1,0.2,0.5,0.8,1.2,2.8,0.2,2.4,4.7,50.0,0.0,0.0,0.0,1.4,2.2,64.4,2.4,4.7,50.0,1.299,0.5,C,True
Dana Barros,1,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,2.0,3.0,66.7,2.0,0.67,PG,False
Marcus Banks,81,2.0,17.1,5.9,0.4,1.3,1.6,2.2,1.1,0.2,1.5,2.1,1.4,2.2,5.5,40.0,0.3,1.1,31.4,1.2,1.6,75.6,1.9,4.4,42.1,1.086,0.43,PG,False
Tony Battie,23,6.0,21.8,5.9,1.7,3.4,5.1,0.9,0.3,0.9,1.0,2.4,0.9,2.4,5.1,47.9,0.0,0.0,100.0,1.0,1.4,69.7,2.4,5.0,47.4,1.162,0.48,C,True
Kedrick Brown,21,10.0,19.4,5.2,0.9,2.4,3.2,1.2,0.8,0.1,0.6,1.8,2.1,2.1,4.7,45.5,0.6,1.5,37.5,0.4,0.6,61.5,1.6,3.2,49.3,1.111,0.52,SG,True
Brandon Hunter,36,12.0,11.3,3.5,1.4,1.9,3.3,0.5,0.4,0.0,0.6,1.1,0.9,1.5,3.2,45.7,0.0,0.1,0.0,0.5,1.2,44.2,1.5,3.1,46.9,1.078,0.46,PF,False
Jumaine Jones,42,2.0,8.9,2.2,0.6,1.0,1.6,0.3,0.3,0.2,0.5,1.1,0.7,0.8,2.3,34.4,0.3,1.0,29.5,0.3,0.5,60.9,0.5,1.2,38.5,0.969,0.41,SF,False
Kendrick Perkins,10,0.0,3.5,2.2,0.5,0.9,1.4,0.3,0.0,0.2,0.5,0.6,0.6,0.8,1.5,53.3,0.0,0.0,0.0,0.6,0.9,66.7,0.8,1.5,53.3,1.467,0.53,C,False
Michael Stewart,17,0.0,4.2,0.3,0.2,0.5,0.6,0.0,0.1,0.1,0.1,0.8,0.0,0.1,0.3,40.0,0.0,0.0,0.0,0.1,0.1,50.0,0.1,0.3,40.0,1.0,0.4,PF,True
Total,82,,,95.3,10.4,29.8,40.1,20.5,9.4,4.0,16.2,22.4,1.3,34.7,78.2,44.3,6.7,19.5,34.6,19.2,25.5,75.0,27.9,58.7,47.5,1.218,0.49,Total,False
