Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Paul Pierce,80,80.0,34.7,18.9,0.4,5.0,5.4,3.3,1.0,0.6,2.1,2.9,1.5,6.3,12.8,49.7,1.4,3.7,37.4,4.8,5.6,86.0,5.0,9.1,54.7,1.48,0.55,SF,False
Ray Allen,80,80.0,36.1,16.5,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,1.9,6.0,12.2,49.1,2.1,4.7,44.4,2.4,2.7,88.1,3.9,7.5,52.0,1.351,0.58,SG,False
Kevin Garnett,71,71.0,31.3,14.9,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1,1.5,6.1,11.6,52.8,0.0,0.1,20.0,2.6,3.1,86.2,6.1,11.5,53.0,1.285,0.53,PF,False
Glen Davis,78,13.0,29.5,11.7,1.3,4.2,5.4,1.2,1.0,0.4,1.1,3.0,1.1,4.6,10.3,44.8,0.0,0.2,13.3,2.5,3.4,73.6,4.6,10.1,45.4,1.142,0.45,PF,False
Rajon Rondo,68,68.0,37.2,10.6,1.3,3.1,4.4,11.2,2.3,0.2,3.4,1.8,3.2,4.7,9.9,47.5,0.1,0.6,23.3,1.1,1.9,56.8,4.5,9.2,49.1,1.076,0.48,PG,False
Jeff Green,26,2.0,23.5,9.8,0.6,2.7,3.3,0.7,0.5,0.6,0.9,2.6,0.8,3.8,7.8,48.5,0.3,1.0,29.6,1.9,2.4,79.4,3.5,6.7,51.4,1.257,0.5,F,True
Shaquille O'Neal,37,36.0,20.3,9.2,1.3,3.5,4.8,0.7,0.4,1.1,1.5,3.2,0.5,3.6,5.4,66.7,0.0,0.0,0.0,2.0,3.5,55.7,3.6,5.4,66.7,1.697,0.67,C,False
Nenad Krstic,24,20.0,23.0,9.1,2.0,3.4,5.3,0.3,0.3,0.3,1.0,3.2,0.3,3.3,6.1,53.7,0.0,0.0,0.0,2.5,3.3,75.0,3.3,6.1,53.7,1.483,0.54,C,True
Kendrick Perkins,12,7.0,26.1,7.3,1.9,6.2,8.1,0.8,0.2,0.8,2.1,3.1,0.4,2.7,4.9,54.2,0.0,0.0,0.0,1.9,3.3,57.5,2.7,4.9,54.2,1.475,0.54,C,True
Nate Robinson,55,11.0,17.9,7.1,0.3,1.3,1.6,1.9,0.5,0.1,1.2,1.9,1.6,2.7,6.6,40.4,1.1,3.5,32.8,0.6,0.7,82.5,1.5,3.1,49.1,1.075,0.49,PG,True
Delonte West,24,2.0,18.9,5.6,0.3,1.3,1.5,2.7,0.8,0.4,1.3,1.2,2.1,2.3,5.0,45.8,0.5,1.4,36.4,0.5,0.6,86.7,1.8,3.6,49.4,1.125,0.51,SG,False
Marquis Daniels,49,0.0,19.1,5.5,0.5,1.8,2.3,1.3,0.8,0.4,0.8,1.3,1.7,2.3,4.7,49.1,0.1,0.4,19.0,0.8,1.2,68.4,2.2,4.3,52.1,1.168,0.5,SG,False
Jermaine O'Neal,24,10.0,18.0,5.4,1.0,2.6,3.7,0.5,0.1,1.3,1.1,2.7,0.4,2.1,4.5,45.9,0.0,0.0,0.0,1.2,1.8,67.4,2.1,4.5,46.3,1.183,0.46,C,False
Semih Erden,37,7.0,14.4,4.1,0.8,2.1,2.9,0.5,0.4,0.6,0.9,2.5,0.6,1.6,2.6,59.8,0.0,0.0,0.0,0.9,1.5,63.0,1.6,2.6,59.8,1.546,0.6,C,True
Von Wafer,58,2.0,9.5,3.2,0.1,0.7,0.8,0.6,0.3,0.1,0.3,0.7,1.8,1.2,2.7,42.1,0.3,1.2,26.9,0.6,0.7,84.2,0.8,1.6,53.3,1.157,0.48,SG,False
Troy Murphy,17,0.0,10.5,2.6,0.6,1.6,2.2,0.4,0.5,0.1,0.4,1.1,0.9,0.9,2.2,42.1,0.1,0.6,10.0,0.6,0.8,84.6,0.9,1.6,53.6,1.158,0.43,PF,True
Carlos Arroyo,15,1.0,12.7,2.4,0.5,1.1,1.5,1.7,0.5,0.0,1.1,0.7,1.5,0.7,2.3,31.4,0.2,0.3,60.0,0.7,0.8,91.7,0.5,2.0,26.7,1.029,0.36,PG,True
Luke Harangody,28,0.0,8.6,2.3,0.6,1.4,2.0,0.4,0.1,0.3,0.2,1.3,2.0,1.0,2.5,39.4,0.1,0.4,20.0,0.2,0.3,62.5,0.9,2.2,42.6,0.887,0.41,PF,True
Sasha Pavlovic,17,0.0,8.8,1.8,0.1,0.8,0.8,0.2,0.3,0.0,0.4,0.9,0.5,0.7,1.5,46.2,0.3,0.6,50.0,0.1,0.3,40.0,0.4,0.9,43.8,1.192,0.56,SG,True
Avery Bradley,31,0.0,5.2,1.7,0.1,0.4,0.5,0.4,0.3,0.0,0.5,0.6,0.8,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.7,2.0,37.1,0.776,0.34,PG,False
Chris Johnson,4,0.0,8.0,1.5,0.3,1.0,1.3,0.3,0.0,0.8,0.5,0.8,0.5,0.5,0.8,66.7,0.0,0.0,0.0,0.5,0.5,100.0,0.5,0.8,66.7,2.0,0.67,C,True
Total,82,,,96.5,7.8,31.0,38.8,23.4,8.2,4.2,14.6,20.5,1.6,36.9,75.8,48.6,5.0,13.6,36.5,17.8,23.1,77.0,31.9,62.2,51.3,1.272,0.52,Total,False
