Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Trae Young,60,60.0,35.3,29.6,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,1.9,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,5.7,11.4,50.1,1.424,0.52,G,False
John Collins,41,41.0,33.2,21.6,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,0.8,8.6,14.8,58.3,1.4,3.6,40.1,2.9,3.7,80.0,7.2,11.2,64.2,1.463,0.63,F,False
Jabari Parker,32,23.0,26.2,15.0,1.7,4.3,6.0,1.8,1.3,0.5,1.9,2.9,1.0,6.2,12.3,50.4,1.0,3.6,27.0,1.7,2.3,73.6,5.2,8.7,60.1,1.221,0.54,PF,True
De'Andre Hunter,63,62.0,32.0,12.3,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,1.1,4.4,10.8,41.0,1.7,4.8,35.5,1.7,2.3,76.4,2.7,6.0,45.4,1.139,0.49,F,False
Kevin Huerter,56,48.0,31.4,12.2,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,2.4,4.5,10.9,41.3,2.3,6.0,38.0,0.9,1.1,82.8,2.2,4.9,45.3,1.121,0.52,G,False
Cam Reddish,58,34.0,26.7,10.5,0.6,3.1,3.7,1.5,1.1,0.5,1.7,2.3,0.9,3.7,9.6,38.4,1.4,4.3,33.2,1.7,2.2,80.2,2.2,5.2,42.8,1.101,0.46,SF,False
Alex Len,40,9.0,18.6,8.7,1.7,4.0,5.8,1.1,0.5,0.8,1.0,2.3,1.1,3.6,6.5,54.6,0.4,1.4,25.0,1.3,2.0,63.0,3.2,5.1,62.7,1.342,0.57,C,True
Dewayne Dedmon,10,8.0,23.3,8.1,1.4,6.8,8.2,0.7,1.0,1.5,1.0,4.0,0.7,3.3,8.4,39.3,0.8,3.6,22.2,0.7,0.8,87.5,2.5,4.8,52.1,0.964,0.44,C,True
Jeff Teague,25,4.0,20.8,7.7,0.5,1.7,2.2,4.0,0.8,0.2,1.6,1.4,2.5,2.7,6.6,41.2,0.4,1.2,33.3,1.9,2.1,88.7,2.3,5.4,43.0,1.17,0.44,PG,True
Brandon Goodwin,34,1.0,12.6,6.1,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,1.8,2.2,5.6,40.0,0.8,2.6,29.9,0.8,0.9,93.3,1.5,3.0,48.5,1.084,0.47,G,False
DeAndre' Bembry,43,4.0,21.3,5.8,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,1.4,2.4,5.3,45.6,0.3,1.5,23.1,0.6,1.1,54.2,2.1,3.8,54.6,1.092,0.49,SG,False
Damian Jones,55,27.0,16.1,5.6,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,1.3,2.2,3.2,68.0,0.0,0.2,22.2,1.1,1.5,73.8,2.2,3.1,70.4,1.719,0.69,C,False
Allen Crabbe,28,1.0,18.6,5.1,0.4,2.0,2.3,1.0,0.5,0.1,0.4,1.3,2.3,1.9,5.1,36.4,1.1,3.3,32.3,0.3,0.4,75.0,0.8,1.8,44.0,1.0,0.47,G,True
Vince Carter,60,0.0,14.6,5.0,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5,1.5,1.8,5.1,35.2,1.0,3.4,30.2,0.4,0.5,79.3,0.8,1.7,45.1,0.98,0.45,G,False
Bruno Fernando,56,13.0,12.7,4.3,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,1.2,1.8,3.6,51.8,0.1,0.7,13.5,0.5,0.9,56.9,1.8,2.9,60.5,1.206,0.53,F,False
Treveon Graham,22,1.0,12.1,3.3,1.0,1.3,2.3,0.7,0.3,0.2,0.5,1.6,1.5,1.1,3.0,37.3,0.6,1.7,35.1,0.4,0.9,47.4,0.5,1.4,40.0,1.075,0.47,F,True
Evan Turner,19,0.0,13.2,3.3,0.4,1.6,2.0,2.0,0.5,0.4,1.4,1.1,1.5,1.3,3.5,37.3,0.0,0.3,0.0,0.6,0.7,85.7,1.3,3.3,40.3,0.925,0.37,G,False
Tyrone Wallace,14,0.0,11.4,2.9,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,1.3,1.0,3.1,31.8,0.1,1.1,6.7,0.8,1.2,64.7,0.9,2.1,44.8,0.909,0.33,G,False
Chandler Parsons,5,0.0,10.8,2.8,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,1.0,1.0,3.6,27.8,0.8,2.8,28.6,0.0,0.0,0.0,0.2,0.8,25.0,0.778,0.39,SF,False
Charlie Brown Jr.,10,0.0,4.0,2.0,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,0.7,0.6,1.9,31.6,0.3,0.9,33.3,0.5,0.5,100.0,0.3,1.0,30.0,1.053,0.39,G,False
Paul Watson,2,0.0,8.5,0.0,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,inf,0.0,3.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,SG,True
Total,67,,,111.8,9.9,33.4,43.3,24.0,7.8,5.1,15.7,23.1,1.5,40.6,90.6,44.9,12.0,36.1,33.3,18.5,23.4,79.0,28.6,54.5,52.5,1.234,0.52,Total,False
